Timestamp                       Thread     Type        Activity             PID    TTL  
2025-12-10 21:56:38.855618+0100 0x89ca36   Default     0x0                  40941  0    App: (UIKitCore) [com.apple.UIKit:InputSessionChange] endInputSession completion is disabled
2025-12-10 21:56:39.962140+0100 0x89ca52   Activity    0x17db848            40941  0    App: (Security) SecItemCopyMatching_ios
2025-12-10 21:56:39.962250+0100 0x89ca52   Default     0x17db848            40941  0    App: (Security) [com.apple.securityd:thread-local-client-debug] SecSecurityClientGet new thread!
2025-12-10 21:56:39.963633+0100 0x89ca52   Activity    0x17db849            40941  0    App: (Security) SecItemCopyMatching_ios
2025-12-10 21:56:39.964323+0100 0x89ca52   Activity    0x17db84a            40941  0    App: (Security) SecItemCopyMatching_ios
2025-12-10 21:56:39.965083+0100 0x89ca52   Activity    0x17db84b            40941  0    App: (Security) SecItemCopyMatching_ios
2025-12-10 21:56:39.966408+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] Creating LAContext new cid:7
2025-12-10 21:56:39.966700+0100 0x89d279   Default     0x0                  40941  0    App: (libxpc.dylib) [com.apple.xpc:connection] [0x105906020] activating connection: mach=true listener=false peer=false name=com.apple.CoreAuthentication.daemon
2025-12-10 21:56:39.968498+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,LAContext] LAContext[3:11:0] created new cid:7
2025-12-10 21:56:39.970213+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client,Biometry] canEvaluatePolicy:1 on LAContext[3:11:0] cid:8 returned Error Domain=com.apple.LocalAuthentication Code=-7 "No identities are enrolled." UserInfo={NSDebugDescription=No identities are enrolled., NSLocalizedDescription=Biometry is not enrolled.}
2025-12-10 21:56:39.970319+0100 0x89d279   Default     0x0                  40941  0    App: (LocalAuthentication) [com.apple.LocalAuthentication:Client] returned biometryType: 2
